,,"Listado de productos Bioequivalentes, actualizado al 21 de Agosto de 2015",,,,,
"260","ROSUVASTATINA","MODERATUS COMPRIMIDOS RECUBIERTOS 10 mg","F‐20479","SANOFI‐AVENTIS DE CHILE S.A.","RESOLUCIÓN N° 22663","25‐10‐2013","Disminución del colesterol"
"261","ROSUVASTATINA","MODERATUS  COMPRIMIDOS RECUBIERTOS 20 mg","F‐20480","SANOFI‐AVENTIS DE CHILE S.A.","RESOLUCIÓN N° 22670","25‐10‐2013","Disminución del colesterol"
"262","LOSARTÁN","LOSARTAN POTÁSICO COMPRIMIDOS RECUBIERTOS 100 mg","F‐20493","CHEMOPHARMA  S.A.","RESOLUCIÓN RW 22695","25‐10‐2013","Hipertensión arterial"
"263","CLONAZEPAM","CLONAZEPAM COMPRIMIDOS 2 mg","F‐13557","MINTLAB  CO. S.A.","RESOLUCIÓN N° 3785","08‐11‐2013","Ansiedad"
"264","CLONAZEPAM","HISTROL COMPRIMIDOS 2 mg","F‐13559","MINTLAB  CO. S.A.","RESOLUCIÓN N° 3786","08‐11‐2013","Ansiedad"
"265","AMLODIPINO","LOMAKARE COMPRIMIDOS 5 mg","F‐18379","ETEX FARMACÉUTICA LTDA.","RESOLUCIÓN N° 3787","08‐11‐2013","Hipertensión arterial ‐ Angina de pecho"
"266","LEVETIRACETAM","PREBB COMPRIMIDOS RECUBIERTOS 500 mg","F‐19378","SYNTHON  CHILE LTDA.","RESOLUCIÓN N° 3788","08‐11‐2013","Antiepiléptico ‐ Estabilizador del estado de ánimo"
"267","LETROZOL","LETROZOL COMPRIMIDOS RECUBIERTOS 2,5 mg","F‐19335","LABORATORIOS  EUROMED CHILE S.A.","RESOLUCIÓN N° 3789","08‐11‐2013","Cáncer de mama"
"268","METFORMINA CLORHIDRATO","GLIDANIL COMPRIMIDOS RECUBIERTOS 500 mg","F‐20507","MEDIPHARM LTDA.","RESOLUCIÓN RW N° 23795","12‐11‐2013","Tratamiento de Diabetes Mellitus"
"269","CLOPIDOGREL","CLOTROMBIX COMPRIMIDOS RECUBIERTOS 75 mg","F‐19113","NOVARTIS CHILE S.A.","RESOLUCIÓN N° 3872","14‐11‐2013","Antiagregante plaquetario"
"270","SERTRALINA","DIELOFT COMPRIMIDOS RECUBIERTOS 50 mg","F‐20517","SANOFI‐AVENTIS DE CHILE S.A.","RESOLUCIÓN RW N° 23951","14‐11‐2013","Antidepresivo"
"271","SERTRALINA","DIELOFT COMPRIMIDOS RECUBIERTOS 100 mg","F‐20518","SANOFI‐AVENTIS DE CHILE S.A.","RESOLUCIÓN RW N° 23952","14‐11‐2013","Antidepresivo"
"272","SERTRALINA","DIELOFT COMPRIMIDOS RECUBIERTOS 50 mg","F‐20519","SANOFI‐AVENTIS DE CHILE S.A.","RESOLUCIÓN RW N° 23953","14‐11‐2013","Antidepresivo"
"273","METOCLOPRAMIDA","METOCLOPRAMIDA CLORHIDRATO COMPRIMIDOS 10 mg","F‐6559","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN N° 3885","15‐11‐2013","Tratamiento de Trastornos
Gastrointestinales"
"274","VENLAFAXINA","VENLAFAXINA  IR COMPRIMIDOS 75 mg","F‐20531","PHARMAVITA S.A.","RESOLUCIÓN RW N° 24124","15‐11‐2013","Antidepresivo"
"275","AZITROMICINA","ESCOVERANCE COMPRIMIDOS RECUBIERTOS 500 mg","F‐20532","SANOFI‐AVENTIS DE CHILE S.A.","RESOLUCIÓN RW N° 24126","15‐11‐2013","Antibiótico"
"276","IMATINIB","KADIR CÁPSULAS 100 mg","F‐20533","SYNTHON  CHILE LTDA.","RESOLUCIÓN RW N° 24146","15‐11‐2013","Tratamiento de Leucemia"
"277","TOPIRAMATO","BIOMOOD COMPRIMIDOS RECUBIERTOS 100 mg","F‐20534","LABORATORIOS SAVAL S.A.","RESOLUCIÓN RW N° 24291","18‐11‐2013","Antiepiléptico"
"278","OLANZAPINA","OLANZAPINA COMPRIMIDOS RECUBIERTOS 10 mg","F‐20543","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN RW N° 24652","22‐11‐2013","Tratamiento de esquizofrenia"
"279","OLANZAPINA","ZAP COMPRIMIDOS 10 mg","F‐20549","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN RW N° 24657","22‐11‐2013","Tratamiento de esquizofrenia"
"280","SILDENAFIL","SILDENAFILO COMPRIMIDOS RECUBIERTOS 100 mg","F‐20550","SANOFI‐AVENTIS DE CHILE S.A.","RESOLUCIÓN RW N° 24658","22‐11‐2013","Tratamiento de la Disfunción Eréctil"
"281","SILDENAFIL","SILDENAFILO COMPRIMIDOS RECUBIERTOS 50 mg","F‐20551","SANOFI‐AVENTIS DE CHILE S.A.","RESOLUCIÓN RW N° 24659","22‐11‐2013","Tratamiento de la Disfunción Eréctil"
"282","CARVEDILOL","CARVEDILOL COMPRIMIDOS 12,5 mg","F‐20547","MEDINOVA FARMA LTDA.","RESOLUCIÓN RW N° 24689","22‐11‐2013","Hipertensión arterial ‐ insuficiencia cardíaca"
"283","LAMOTRIGINA","DAKSOL COMPRIMIDOS 25 mg","F‐20544","PHARMAVITA S.A.","RESOLUCIÓN RW N° 24719","22‐11‐2013","Antiepiléptico ‐ Estabilizador del estado de ánimo"
"284","LAMOTRIGINA","DAKSOL COMPRIMIDOS 50 mg","F‐20545","PHARMAVITA S.A.","RESOLUCIÓN RW N° 24720","22‐11‐2013","Antiepiléptico ‐ Estabilizador del estado de ánimo"
"285","LAMOTRIGINA","DAKSOL COMPRIMIDOS 100 mg","F‐20546","PHARMAVITA S.A.","RESOLUCIÓN RW N° 24721","22‐11‐2013","Antiepiléptico ‐ Estabilizador del estado de ánimo"
"286","MONTELUKAST","LUCASTE COMPRIMIDOS MASTICABLES 5 mg","F‐20589","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN RW N° 25285","02‐12‐2013","Antialérgico ‐ Antiasmático"
"287","MONTELUKAST","LUCASTE COMPRIMIDOS MASTICABLES 4 mg","F‐20588","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN RW N° 25288","02‐12‐2013","Antialérgico ‐ Antiasmático"
"288","CIPROFLOXACINO","CIPROFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg","F‐14779","OPKO CHILE S.A.","RESOLUCIÓN N° 4014","04‐12‐2013","Antibiótico"
"289","METILFENIDATO","RUBIFEN SR COMPRIMIDOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 20 mg","F‐14593","PHARMAVITA S.A.","RESOLUCIÓN N° 4016","04‐12‐2013","Estimulante sistema nervioso central"
"290","LOSARTÁN","CORODIN COMPRIMIDOS RECUBIERTOS 50 mg","F‐11043","LABORATORIOS LAFI LTDA.","RESOLUCIÓN N° 4072","06‐12‐2013","Hipertensión arterial"
"291","ESCITALOPRAM","RESTAURAL COMPRIMIDOS RECUBIERTOS 20 mg","F‐20627","PHARMAVITA S.A.","RESOLUCIÓN RW N° 25839","10‐12‐2013","Antidepresivo"
"292","ESCITALOPRAM","RESTAURAL COMPRIMIDOS RECUBIERTOS 10 mg","F‐20626","PHARMAVITA S.A.","RESOLUCIÓN RW N° 25841","10‐12‐2013","Antidepresivo"
"293","ENALAPRIL","ENALAPRIL MALEATO COMPRIMIDOS 20 mg","F‐20637","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN RW N° 25844","10‐12‐2013","Hipertensión arterial ‐ insuficiencia cardíaca"
"294","ATORVASTATINA","ORVAKARE COMPRIMIDOS RECUBIERTOS 10 mg","F‐20629","ETEX FARMACÉUTICA LTDA.","RESOLUCIÓN RW N° 25860","10‐12‐2013","Disminución del colesterol"
"295","ATORVASTATINA","ORVAKARE COMPRIMIDOS RECUBIERTOS 20 mg","F‐20630","ETEX FARMACÉUTICA LTDA.","RESOLUCIÓN RW N° 25876","10‐12‐2013","Disminución del colesterol"
"296","ACENOCUMAROL","ISQUELIUM COMPRIMIDOS 4 mg","F‐9091","SYNTHON CHILE LTDA.","RESOLUCIÓN N° 4196","13‐12‐2013","Anticoagulante"
"297","FUROSEMIDA","FUROSEMIDA COMPRIMIDOS 40 mg","F‐2274","LABORATORIO CHILE S.A.","RESOLUCIÓN N° 4197","13‐12‐2013","Diurético"
"298","CLONAZEPAM","HISTROL COMPRIMIDOS 0,5 mg","F‐13558","MINTLAB  CO. S.A.","RESOLUCIÓN N° 4198","13‐12‐2013","Ansiedad"
"299","CLONAZEPAM","CLONAZEPAM COMPRIMIDOS 0,5 mg","F‐13556","MINTLAB  CO. S.A.","RESOLUCIÓN N° 4199","13‐12‐2013","Ansiedad"
"300","TOPIRAMATO","BIOMOOD COMPRIMIDOS RECUBIERTOS 50 mg","F‐20659","LABORATORIOS SAVAL S.A.","RESOLUCIÓN RW N° 26252","13‐12‐2013","Antiepiléptico"
"301","LAMIVUDINA","LAMIVUDINA COMPRIMIDOS RECUBIERTOS 150 mg","F‐20667","ASCEND LABORATORIES SpA","RESOLUCIÓN RW N° 26255","13‐12‐2013","tratamiento de VIH/SIDA"
"302","VENLAFAXINA","SUBELAN XR CÁPSULAS CON COMPRIMIDOS DE LIBERACIÓN PROLONGADA 37,5 mg","F‐20675","PHARMAVITA S.A.","RESOLUCIÓN RW N° 26256","13‐12‐2013","Antidepresivo"
"303","CELECOXIB","CELECOXIB CÁPSULAS 200 mg","F‐20673","PFIZER CHILE S.A.","RESOLUCIÓN RW N° 26258","13‐12‐2013","Analgésico / Antiinflamatorio"
"304","CELECOXIB","CAPSURE CÁPSULAS 200 mg","F‐20674","PFIZER CHILE S.A.","RESOLUCIÓN RW N° 26261","13‐12‐2013","Analgésico / Antiinflamatorio"
"305","LOSARTÁN","ARATAN COMPRIMIDOS RECUBIERTOS 50 mg","F‐20666","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN RW N° 26383","16‐12‐2013","Hipertensión arterial"
"306","LOSARTÁN","LOSARTÁN POTÁSICO COMPRIMIDOS RECUBIERTOS 50 mg","F‐20665","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN RW N° 26411","16‐12‐2013","Hipertensión arterial"
"307","PAROXETINA","ZEQUIVEC COMPRIMIDOS RECUBIERTOS 20 mg","F‐20668","SANOFI‐AVENTIS DE CHILE S.A.","RESOLUCIÓN RW N° 26418","16‐12‐2013","Antidepresivo"
"308","ROSUVASTATINA","MODERATUS COMPRIMIDOS RECUBIERTOS 20 mg","F‐20663","SANOFI‐AVENTIS DE CHILE S.A.","RESOLUCIÓN RW N° 26444","16‐12‐2013","Disminución del colesterol"
"309","METFORMINA CLORHIDRATO","TAVIST  XR COMPRIMIDOS DE LIBERACIÓN PROLONGADA
500 mg.","F‐20346","MINTLAB  CO. S.A.","RESOLUCIÓN N° 4234","18‐12‐2013","Tratamiento de Diabetes Mellitus"
"310","ROSUVASTATINA","MODERATUS COMPRIMIDOS RECUBIERTOS 10 mg","F‐20706","SANOFI‐AVENTIS DE CHILE S.A.","RESOLUCIÓN RW N° 26667","18‐12‐2013","Disminución del colesterol"
"311","METFORMINA CLORHIDRATO","METFORMINA CLORHIDRATO COMPRIMIDOS 850 mg","F‐18634","MINTLAB  CO. S.A.","RESOLUCIÓN N° 4260","20‐12‐2013","Tratamiento de Diabetes Mellitus"
"312","TOPIRAMATO","BIOMOOD COMPRIMIDOS RECUBIERTOS 25 mg","F‐20720","LABORATORIOS SAVAL S.A.","RESOLUCIÓN RW N° 27105","23‐12‐2013","Antiepiléptico"
"313","MICOFENOLATO MOFETILO","LINFONEX COMPRIMIDOS RECUBIERTOS 250 mg","F‐13487","LABORATORIOS RECALCINE S.A.","RESOLUCIÓN N° 4294","24‐12‐2013","Trasplante de órganos"
"314","SERTRALINA","SERONEX COMPRIMIDOS RECUBIERTOS 100 mg","F‐20723","PHARMAVITA S.A.","RESOLUCIÓN RW N° 27221","24‐12‐2013","Antidepresivo"
"315","SERTRALINA","SERONEX COMPRIMIDOS RECUBIERTOS 50 mg","F‐20724","PHARMAVITA S.A.","RESOLUCIÓN RW N° 27229","24‐12‐2013","Antidepresivo"
"316","CIPROFLOXACINO","CIPROFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg","F‐20718","ASCEND LABORATORIES SpA","RESOLUCIÓN RW N° 27274","26‐12‐2013","Antibiótico"
"317","LEVETIRACETAM","LEVETIRACETAM  COMPRIMIDOS RECUBIERTOS 1.000 mg","F‐20722","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN RW N° 27350","26‐12‐2013","Antiepiléptico ‐ Estabilizador del estado de ánimo"
"318","AMOXICILINA+CLAVULÁNICO","AMOLEX DUO 875/125 COMPRIMIDOS RECUBIERTOS","F‐19777","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN N° 4304","27‐12‐2013","Antibiótico"
"319","ATORVASTATINA","LIPOTROPIC COMPRIMIDOS RECUBIERTOS 20 mg","F‐1724","LABORATORIOS LAFI LTDA.","RESOLUCIÓN N° 4305","27‐12‐2013","Disminución del colesterol"
"320","AMOXICILINA+CLAVULÁNICO","AMOXICILINA / ÁCIDO CLAVULÁNICO 875/125
COMPRIMIDOS RECUBIERTOS","F‐19776","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN N° 4306","27‐12‐2013","Antibiótico"
"321","IMATINIB","KADIR COMPRIMIDOS RECUBIERTOS 100 mg","F‐20734","SYNTHON  CHILE LTDA.","RESOLUCIÓN RW N° 27459","27‐12‐2013","Tratamiento de Leucemia"
"322","VALSARTÁN","VERALPRES COMPRIMIDOS RECUBIERTOS 80 mg","F‐20736","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN RW N° 27460","27‐12‐2013","Hipertensión arterial"
"323","IMATINIB","KADIR COMPRIMIDOS RECUBIERTOS 400 mg","F‐20735","SYNTHON  CHILE LTDA.","RESOLUCIÓN RW N° 27461","27‐12‐2013","Tratamiento de Leucemia"
"324","ATORVASTATINA","ATENFAR COMPRIMIDOS RECUBIERTOS 20 mg","F‐20737","MEDIPHARM LTDA.","RESOLUCIÓN RW N° 27464","27‐12‐2013","Disminución del colesterol"
"325","ESCITALOPRAM","ETALOKARE COMPRIMIDOS RECUBIERTOS 10 mg","F‐19232","ETEX FARMACÉUTICA LTDA.","RESOLUCIÓN N° 0009","06‐01‐2014","Antidepresivo"
"326","SILDENAFIL","SELERUP 50 COMPRIMIDOS RECUBIERTOS 50 mg","F‐7668","GADOR LTDA.","RESOLUCIÓN N° 0083","14‐01‐2014","Tratamiento de la Disfunción Eréctil"
"327","SILDENAFIL","SEGUREX 50 COMPRIMIDOS RECUBIERTOS 50 mg","F‐18830","GADOR LTDA.","RESOLUCIÓN N° 0084","14‐01‐2014","Tratamiento de la Disfunción Eréctil"
"328","AMOXICILINA+CLAVULÁNICO","AMOXICILINA/ACIDO CLAVULANICO 875/125
COMPRIMIDOS RECUBIERTOS","F‐20795","ASCEND LABORATORIES SpA","RESOLUCIÓN RW N° 1124","20‐01‐2014","Antibiótico"
"329","ESCITALOPRAM","ESCITALOPRAM COMPRIMIDOS RECUBIERTOS 20 mg","F‐20790","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN RW N° 1212","20‐01‐2014","Antidepresivo"
"330","IMATINIB","IMATINIB COMPRIMIDOS RECUBIERTOS 100 mg","F‐20779","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN RW N° 1415","23‐01‐2014","Tratamiento de Leucemia"
"331","CLOPIDOGREL","FLUYET COMPRIMIDOS RECUBIERTOS 75 mg","F‐20812","PHARMAVITA S.A.","RESOLUCIÓN RW N° 1496","24‐01‐2014","Antiagregante plaquetario"
"332","ATORVASTATINA","LINAROL COMPRIMIDOS RECUBIERTOS 20 mg","F‐14846","MINTLAB  CO. S.A.","RESOLUCIÓN N° 0245","28‐01‐2014","Disminución del colesterol"
"333","ATORVASTATINA","ATORVASTATINA COMPRIMIDOS RECUBIERTOS 20 mg","F‐14546","MINTLAB  CO. S.A.","RESOLUCIÓN N° 0246","28‐01‐2014","Disminución del colesterol"
"334","ESOMEPRAZOL","ESOMEPRAZOL COMPRIMIDOS CON RECUBRIMIENTO ENTÉRICO 40 mg","F‐20864","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN RW N° 1742","28‐01‐2014","Tratamiento de Ulceras Gastricas y
Reflujo Gastroesofágico"
"335","QUETIAPINA","QUETIAPINA COMPRIMIDOS RECUBIERTOS 25 mg","F‐20855","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN RW N° 1779","29‐01‐2014","Trastornos mentales"
"336","SILDENAFIL","NOVALIF COMPRIMIDOS RECUBIERTOS 50 mg","F‐20877","PHARMAVITA S.A.","RESOLUCIÓN RW N° 1822","29‐01‐2014","Tratamiento de la Disfunción Eréctil"
"337","SILDENAFIL","NOVALIF COMPRIMIDOS RECUBIERTOS 100 mg","F‐20878","PHARMAVITA S.A.","RESOLUCIÓN RW N° 1825","29‐01‐2014","Tratamiento de la Disfunción Eréctil"
"338","RISPERIDONA","RISPERIDONA COMPRIMIDOS DE DISOLUCIÓN BUCAL 1 mg","F‐20865","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN RW N° 1840","29‐01‐2014","Trastornos mentales"
"339","LOSARTÁN","ARATAN COMPRIMIDOS RECUBIERTOS 100 mg","F‐20899","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN RW N° 2274","03‐02‐2014","Hipertensión arterial"
"340","ALPRAZOLAM","ADAX COMPRIMIDOS 1 mg","F‐5509","LABORATORIOS SAVAL S.A.","RESOLUCIÓN N° 434","07‐02‐2014","Ansiedad"
"341","ALPRAZOLAM","ADAX COMPRIMIDOS 0,5 mg","F‐5511","LABORATORIOS SAVAL S.A.","RESOLUCIÓN N° 435","07‐02‐2014","Ansiedad"
"342","ATORVASTATINA","LINAROL COMPRIMIDOS RECUBIERTOS 10 mg","F‐14847","MINTLAB  CO. S.A.","RESOLUCIÓN N° 436","07‐02‐2014","Disminución del colesterol"
"343","ATORVASTATINA","ATORVASTATINA COMPRIMIDOS RECUBIERTOS 10 mg","F‐14545","MINTLAB  CO. S.A.","RESOLUCIÓN N° 437","07‐02‐2014","Disminución del colesterol"
"344","QUETIAPINA","QUETIAPINA COMPRIMIDOS RECUBIERTOS 25 mg","F‐19959","ASCEND LABORATORIES SpA","RESOLUCIÓN N° 439","11‐02‐2014","Trastornos mentales"
"345","ENALAPRIL","ENALAPRIL MALEATO COMPRIMIDOS 20 mg","F‐19260","OPKO CHILE S.A.","RESOLUCIÓN N° 440","11‐02‐2014","Hipertensión arterial ‐ insuficiencia cardíaca"
"346","CIPROFLOXACINO","CIPROFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg","F‐20908","OPKO CHILE S.A.","RESOLUCIÓN RW N° 2814","11‐02‐2014","Antibiótico"
"347","LEVETIRACETAM","LEVETIRACETAM COMPRIMIDOS RECUBIERTOS 500 mg","F‐20905","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN RW N° 2848","12‐02‐2014","Antiepiléptico ‐ Estabilizador del estado de ánimo"
"348","ATENOLOL","ATENOLOL COMPRIMIDOS 50 mg","F‐9870","MINTLAB  CO. S.A.","RESOLUCIÓN N° 477","14‐02‐2014","Hipertensión arterial"
"349","ATENOLOL","ATENOLOL COMPRIMIDOS 100 mg","F‐9869","MINTLAB  CO. S.A.","RESOLUCIÓN N° 478","14‐02‐2014","Hipertensión arterial"
"350","LOSARTÁN","LOSARTAN POTÁSICO COMPRIMIDOS RECUBIERTOS 100 mg","F‐20934","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN RW N° 3204","17‐02‐2014","Hipertensión arterial"
"351","PANTOPRAZOL","PANTOCAL COMPRIMIDOS CON RECUBRIMIENTO ENTÉRICO
40 mg","F‐20679","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN N° 562","18‐02‐2014","Tratamiento de Ulceras Gastricas y
Reflujo Gastroesofágico"
"352","IRBESARTÁN / HIDROCLOROTIAZIDA","IRTANA H 150/12,5 COMPRIMIDOS","F‐20632","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN N° 563","18‐02‐2014","Hipertensión arterial"
"353","IRBESARTÁN / HIDROCLOROTIAZIDA","IRTANA H 300/12,5 COMPRIMIDOS","F‐20631","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN N° 564","18‐02‐2014","Hipertensión arterial"
"354","BETAHISTINA","MICROSER COMPRIMIDOS 24 mg","F‐18989","GRÜNENTHAL CHILENA LTDA.","RESOLUCIÓN N° 578","18‐02‐2014","Antivertiginoso"
"355","OLANZAPINA","PSITAB COMPRIMIDOS 5 mg","F‐18498","SYNTHON  CHILE LTDA.","RESOLUCIÓN RW N°3252","18‐02‐2014","Tratamiento de esquizofrenia"
"356","METFORMINA CLORHIDRATO","METFORMINA CLORHIDRATO COMPRIMIDOS RECUBIERTOS
850 mg","F‐20937","ARAMA NATURAL PRODUCTS DISTRIBUIDORA LTDA.","RESOLUCIÓN RW N° 3364","19‐02‐2014","Tratamiento de Diabetes Mellitus"
"357","MEMANTINA","MENTIUM COMPRIMIDOS RECUBIERTOS 10 mg","F‐20156","SYNTHON  CHILE LTDA.","RESOLUCIÓN N° 767","03‐03‐2014","Tratamiento de Alzheimer"
"358","ESCITALOPRAM","NEOZENTIUS COMPRIMIDOS RECUBIERTOS 10 mg","F‐15087","PHARMA INVESTI DE CHILE S.A.","RESOLUCIÓN N° 768","03‐03‐2014","Antidepresivo"
"359","VORICONAZOL","ZIVENAD COMPRIMIDOS RECUBIERTOS 200 mg","F‐20946","SYNTHON  CHILE LTDA.","RESOLUCIÓN RW N°4562","11‐03‐2014","Antifúngico"
"360","IMATINIB","IMATINIB COMPRIMIDOS RECUBIERTOS 400 mg","F‐20961","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN RW N°5148","18‐03‐2014","Tratamiento de Leucemia"
"361","FLUOXETINA","FLUOXETINA COMPRIMIDOS 20 mg","F‐467","INSTITUTO SANITAS S.A.","RESOLUCIÓN N° 1000","19‐03‐2014","Antidepresivo"
"362","FLUOXETINA","CLINIUM CÁPSULAS 20 mg","F‐8894","INSTITUTO SANITAS S.A.","RESOLUCIÓN N° 1001","19‐03‐2014","Antidepresivo"
"363","PAROXETINA","PAROXETINA COMPRIMIDOS RECUBIERTOS 20 mg","F‐18058","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN N° 1002","19‐03‐2014","Antidepresivo"
"364","PAROXETINA","TRAVIATA COMPRIMIDOS RECUBIERTOS 20 mg","F‐9538","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN N° 1003","19‐03‐2014","Antidepresivo"
"365","OLANZAPINA","AMULSIN COMPRIMIDOS RECUBIERTOS 10 mg","F‐11921","INSTITUTO SANITAS S.A.","RESOLUCIÓN N° 1004","19‐03‐2014","Tratamiento de esquizofrenia"
"366","AZITROMICINA","AZITROMICINA COMPRIMIDOS RECUBIERTOS 500 mg","F‐19316","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN N° 997","19‐03‐2014","Antibiótico"
"367","AZITROMICINA","ABACTEN COMPRIMIDOS RECUBIERTOS 500 mg","F‐11176","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN N° 998","19‐03‐2014","Antibiótico"
"368","SILDENAFIL","VIGOREX  COMPRIMIDOS RECUBIERTOS 100 mg","F‐19963","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN N° 999","19‐03‐2014","Tratamiento de la Disfunción Eréctil"
"369","ESCITALOPRAM","ESCITALOPRAM  COMPRIMIDOS RECUBIERTOS 10 mg","F‐20964","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN RW N°5231","19‐03‐2014","Antidepresivo"
"370","BICALUTAMIDA","BICALUTAMIDA  COMPRIMIDOS RECUBIERTOS 50 mg","F‐20979","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN RW N°5587","25‐03‐2014","Cáncer de próstata"
"371","SERTRALINA","SERTRALINA COMPRIMIDOS RECUBIERTOS 100 mg","F‐20974","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN RW N°5593","25‐03‐2014","Antidepresivo"
"372","SERTRALINA","SERTAC COMPRIMIDOS RECUBIERTOS 100 mg","F‐20975","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN RW N°5594","25‐03‐2014","Antidepresivo"
"373","SERTRALINA","SERTRALINA COMPRIMIDOS RECUBIERTOS 50 mg","F‐20976","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN RW N°5628","25‐03‐2014","Antidepresivo"
"374","SERTRALINA","SERTAC COMPRIMIDOS RECUBIERTOS 50 mg","F‐20977","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN RW N°5638","25‐03‐2014","Antidepresivo"
"375","EFAVIRENZ","EFAVIRENZ  COMPRIMIDOS RECUBIERTOS 600 mg","F‐20984","LABORATORIO CHILE S.A.","RESOLUCIÓN RW N°5710","26‐03‐2014","tratamiento de VIH/SIDA"
"376","IBUPROFENO","IBUPIRAC LC CÁPSULAS BLANDAS 400 mg","F‐20999","CHEMOPHARMA S.A.","RESOLUCIÓN RW N°6146","31‐03‐2014","Analgésico / Antiinflamatorio"
"377","ATORVASTATINA","ATORVASTATINA  COMPRIMIDOS RECUBIERTOS 80 mg","F‐21002","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN RW N°6148","31‐03‐2014","Disminución del colesterol"
"378","IBUPROFENO","IBUPIRAC LC CÁPSULAS BLANDAS 600 mg","F‐21000","CHEMOPHARMA S.A.","RESOLUCIÓN RW N°6161","31‐03‐2014","Analgésico / Antiinflamatorio"
"379","ATORVASTATINA","ATORVASTATINA  COMPRIMIDOS RECUBIERTOS 10 mg","F‐21001","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN RW N°6204","01‐04‐2014","Disminución del colesterol"
"380","LAMIVUDINA + ZIDOVUDINA","LAMIVUDINA/ZIDOVUDINA 150/300  COMPRIMIDOS RECUBIERTOS","F‐21012","INDOPHARMA S.A.","RESOLUCIÓN RW N°6741","07‐04‐2014","tratamiento de VIH/SIDA"
"381","LAMOTRIGINA","LETICO COMPRIMIDOS 100 mg","F‐21013","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN RW N°6824","08‐04‐2014","Antiepiléptico ‐ Estabilizador del estado de ánimo"
"382","LAMOTRIGINA","LETICO COMPRIMIDOS 25 mg","F‐21014","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN RW N°6825","08‐04‐2014","Antiepiléptico ‐ Estabilizador del estado de ánimo"
"383","ABACAVIR","ABACAVIR COMPRIMIDOS RECUBIERTOS 300 mg","F‐21021","MASTER CARE S.A.","RESOLUCIÓN RW N°6873","08‐04‐2014","tratamiento de VIH/SIDA"
"384","DONEPECILO","NEPOKARE COMPRIMIDOS RECUBIERTOS 5 mg","F‐19401","ETEX FARMACÉUTICA LTDA.","RESOLUCIÓN N° 1299","10‐04‐2014","Tratamiento de Alzheimer"
"385","LAMOTRIGINA","LAMITRIM COMPRIMIDOS 50 mg","F‐21027","MEDINOVA FARMA LTDA.","RESOLUCIÓN RW N°7184","11‐04‐2014","Antiepiléptico ‐ Estabilizador del estado de ánimo"
"386","CEFALEXINA","CEFALEXINA CÁPSULAS 500 mg","F‐20229","ASCEND LABORATORIES SpA","RESOLUCIÓN N° 1352","16‐04‐2014","Antibiótico"
"387","TERBINAFINA","MICOSET COMPRIMIDOS 250 mg.","F‐12145","LABORATORIO BAGÓ DE CHILE S.A.","RESOLUCIÓN RW N°7672","22‐04‐2014","Antimicotico"
