,,"      Listado de productos Bioequivalentes, actualizado al 29 de Febrero de 2016                             ",,,,,
297,Antidepresivo,DULOXETINA,Cymbalta,Eli Lilly ,DULOXETINA CÁPSULAS CON GRÁNULOS CON RECUBRIMIENTO ENTÉRICO 30 mg,F-20783,ASCEND LABORATORIES SpA
298,Antidepresivo,DULOXETINA,Cymbalta,Eli Lilly ,DULOXETINA CÁPSULAS CON  GRÁNULOS  CON RECUBRIMIENTO ENTÉRICO 30 mg,F-22110,ASCEND LABORATORIES SpA
299,Antidepresivo,DULOXETINA,Cymbalta,Eli Lilly ,DULOXETINA CÁPSULAS CON GRÁNULOS CON RECUBRIMIENTO ENTÉRICO 60 mg,F-22123,ASCEND LABORATORIES SpA
300,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ETALOKARE COMPRIMIDOS RECUBIERTOS 10 mg,F-19232,ETEX FARMACÉUTICA LTDA.
301,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ESCITAVITAE COMPRIMIDOS RECUBIERTOS 20 mg,F-21382,GALENICUM HEALTH CHILE S.p.A.
302,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ESCITAVITAE COMPRIMIDOS RECUBIERTOS 10 mg,F-21383,GALENICUM HEALTH CHILE S.p.A.
303,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,NEOPRESOL COMPRIMIDOS RECUBIERTOS 10 mg,F-15836,LABORATORIO BAGÓ DE CHILE S.A.
304,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ESCITALOPRAM COMPRIMIDOS RECUBIERTOS 10 mg,F-18595,LABORATORIO CHILE S.A.
305,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ECTIBAN COMPRIMIDOS RECUBIERTOS 10 mg,F-15040,LABORATORIO CHILE S.A.
306,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ECTIBAN COMPRIMIDOS RECUBIERTOS 20 mg,F-15039,LABORATORIO CHILE S.A.
307,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ESCITALOPRAM COMPRIMIDOS RECUBIERTOS  20 mg,F-20790,LABORATORIOS EUROMED CHILE S.A.
308,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ESCITALOPRAM  COMPRIMIDOS RECUBIERTOS 10 mg,F-20964,LABORATORIOS EUROMED CHILE S.A.
309,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ESC COMPRIMIDOS RECUBIERTOS 20 mg,F-21116,LABORATORIOS EUROMED CHILE S.A.
310,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ESC  COMPRIMIDOS RECUBIERTOS 10 mg,F-21233,LABORATORIOS EUROMED CHILE S.A.
311,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,IPRAN COMPRIMIDOS RECUBIERTOS 10 mg,F-12972,LABORATORIOS RECALCINE S.A.
312,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,IPRAN COMPRIMIDOS RECUBIERTOS 20 mg,F-12973,LABORATORIOS RECALCINE S.A.
313,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,CELTIUM COMPRIMIDOS RECUBIERTOS 20 mg.,F-15513,LABORATORIOS SAVAL S.A.
314,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,CELTIUM COMPRIMIDOS RECUBIERTOS 10 mg,F-14527,LABORATORIOS SAVAL S.A.
315,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,REPOSIL COMPRIMIDOS RECUBIERTOS 10 mg,F-15314,MEDIPHARM LTDA.
316,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ESCITALOPRAM COMPRIMIDOS RECUBIERTOS 10 mg,F-17605,MINTLAB  CO. S.A.
317,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,PREXAN  COMPRIMIDOS RECUBIERTOS 10 mg (ESCITALOPRAM) ,F-21596,MINTLAB Co. S.A.
318,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ESCITALOPRAM COMPRIMIDOS RECUBIERTOS 10 mg ,F-21595,MINTLAB Co. S.A.
319,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,TRESUS COMPRIMIDOS RECUBIERTOS 20 mg,F-19103,NOVARTIS CHILE S.A.
320,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,TRESUS COMPRIMIDOS RECUBIERTOS 10 mg,F-19102,NOVARTIS CHILE S.A.
321,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,NEOZENTIUS COMPRIMIDOS RECUBIERTOS 10 mg,F-15087,PHARMA INVESTI DE CHILE S.A.
322,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,RESTAURAL COMPRIMIDOS RECUBIERTOS 20 mg,F-20627,PHARMAVITA S.A.
323,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,RESTAURAL COMPRIMIDOS RECUBIERTOS 10 mg,F-20626,PHARMAVITA S.A.
324,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ERLINIZ COMPRIMIDOS RECUBIERTOS 10 mg (ESCITALOPRAM),F-21635,SANOFI-AVENTIS DE CHILE S.A.
325,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ERLINIZ COMPRIMIDOS RECUBIERTOS 20 mg (Escitalopram),F-21636,SANOFI-AVENTIS DE CHILE S.A.
326,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,LUNDYA COMPRIMIDOS RECUBIERTOS 10 mg,F-21219,SYNTHON  CHILE LTDA.
327,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,LUNDYA COMPRIMIDOS RECUBIERTOS 20 mg,F-21220,SYNTHON  CHILE LTDA.
328,Antidepresivo,FLUOXETINA,Livertox,Laboratorio Bagó ,ACTAN CÁPSULAS 20 mg,F-5446,EUROLAB LTDA.
329,Antidepresivo,FLUOXETINA,Livertox,Laboratorio Bagó ,FLUOXETINA COMPRIMIDOS 20 mg,F-467,INSTITUTO SANITAS S.A.
330,Antidepresivo,FLUOXETINA,Livertox,Laboratorio Bagó ,CLINIUM CÁPSULAS 20 mg,F-8894,INSTITUTO SANITAS S.A.
331,Antidepresivo,FLUOXETINA,Livertox,Laboratorio Bagó ,LIVERTOX COMPRIMIDOS RECUBIERTOS 20 mg,F-9657,LABORATORIO BAGÓ DE CHILE S.A.
332,Antidepresivo,FLUOXETINA,Livertox,Laboratorio Bagó ,FLUOXETINA COMPRIMIDOS 20 mg,F-8411,LABORATORIO CHILE S.A.
333,Antidepresivo,FLUOXETINA,Livertox,Laboratorio Bagó ,SOSTAC COMPRIMIDOS 20 mg,F-8497,LABORATORIO CHILE S.A.
334,Antidepresivo,FLUOXETINA,Livertox,Laboratorio Bagó ,FLUOXETINA COMPRIMIDOS 20 mg,F-14351,LABORATORIOS ANDRÓMACO S.A.
335,Antidepresivo,MIRTAZAPINA,Promyrtil,Schering Plough ,MIRTAVITAE COMPRIMIDOS RECUBIERTOS 15 mg,F-22360,GALENICUM HEALTH CHILE S.P.A.
336,Antidepresivo,MIRTAZAPINA,Promyrtil,Schering Plough ,MIRTAVITAE COMPRIMIDOS RECUBIERTOS 30 mg,F-22361,GALENICUM HEALTH CHILE S.P.A.
337,Antidepresivo,MIRTAZAPINA,Promyrtil,Schering Plough ,CIBLEX COMPRIMIDOS RECUBIERTOS 15 mg,F-12348,LABORATORIOS LAFI LTDA.
338,Antidepresivo,MIRTAZAPINA,Promyrtil,Schering Plough ,CIBLEX COMPRIMIDOS RECUBIERTOS 30 mg,F-9773,LABORATORIOS LAFI LTDA.
339,Antidepresivo,MIRTAZAPINA,Promyrtil,Schering Plough ,DIVARIL COMPRIMIDOS RECUBIERTOS 30 mg,F-9774,TECNOFARMA S.A.
340,Antidepresivo,PAROXETINA,Aroxat,Glaxosmithkline ,PAMAX COMPRIMIDOS RECUBIERTOS 20 mg,F-9013,INSTITUTO SANITAS S.A.
341,Antidepresivo,PAROXETINA,Aroxat,Glaxosmithkline ,POSIVYL COMPRIMIDOS RECUBIERTOS 20 mg,F-8481,LABORATORIO CHILE S.A.
342,Antidepresivo,PAROXETINA,Aroxat,Glaxosmithkline ,PAROXETINA COMPRIMIDOS RECUBIERTOS 20 mg,F-13726,LABORATORIO CHILE S.A.
343,Antidepresivo,PAROXETINA,Aroxat,Glaxosmithkline ,PAROXETINA COMPRIMIDOS RECUBIERTOS 20 mg,F-18058,LABORATORIOS ANDRÓMACO S.A.
344,Antidepresivo,PAROXETINA,Aroxat,Glaxosmithkline ,TRAVIATA COMPRIMIDOS RECUBIERTOS 20 mg,F-9538,LABORATORIOS ANDRÓMACO S.A.
345,Antidepresivo,PAROXETINA,Aroxat,Glaxosmithkline ,PAROXETINA COMPRIMIDOS RECUBIERTOS 20 mg,F-16751,MINTLAB  CO. S.A.
346,Antidepresivo,PAROXETINA,Aroxat,Glaxosmithkline ,SUPTRAN COMPRIMIDOS RECUBIERTOS 20 mg,F-16752,MINTLAB  CO. S.A.
347,Antidepresivo,PAROXETINA,Aroxat,Glaxosmithkline ,PARLUXETIL COMPRIMIDOS RECUBIERTOS 40 mg,F-21098,NOVARTIS CHILE S.A.
348,Antidepresivo,PAROXETINA,Aroxat,Glaxosmithkline ,PARLUXETIL COMPRIMIDOS RECUBIERTOS 20 mg,F-21097,NOVARTIS CHILE S.A.
349,Antidepresivo,PAROXETINA,Aroxat,Glaxosmithkline ,ZEQUIVEC COMPRIMIDOS RECUBIERTOS 20 mg,F-20668,SANOFI-AVENTIS DE CHILE S.A.
350,Antidepresivo,PAROXETINA,Aroxat,Glaxosmithkline ,DRIMPAX COMPRIMIDOS RECUBIERTOS 20 mg,F-18001,SYNTHON  CHILE LTDA.
351,Antidepresivo,SERTRALINA,Altruline,Roering ,EMERGEN COMPRIMIDOS 100 mg,F-13297,LABORATORIO CHILE S.A.
352,Antidepresivo,SERTRALINA,Altruline,Roering ,SERTRALINA COMPRIMIDOS 100 mg,F-18767,LABORATORIO CHILE S.A.
353,Antidepresivo,SERTRALINA,Altruline,Roering ,SERTRALINA COMPRIMIDOS RECUBIERTOS 100 mg,F-20974,LABORATORIOS ANDRÓMACO S.A.
354,Antidepresivo,SERTRALINA,Altruline,Roering ,SERTAC COMPRIMIDOS RECUBIERTOS 100 mg,F-20975,LABORATORIOS ANDRÓMACO S.A.
355,Antidepresivo,SERTRALINA,Altruline,Roering ,SERTRALINA COMPRIMIDOS RECUBIERTOS 50 mg,F-20976,LABORATORIOS ANDRÓMACO S.A.
356,Antidepresivo,SERTRALINA,Altruline,Roering ,SERTAC COMPRIMIDOS RECUBIERTOS 50 mg,F-20977,LABORATORIOS ANDRÓMACO S.A.
357,Antidepresivo,SERTRALINA,Altruline,Roering ,SEDORAN COMPRIMIDOS RECUBIERTOS 100 mg,F-21524,LABORATORIOS RAFFO S.A.
358,Antidepresivo,SERTRALINA,Altruline,Roering ,SEDORAN COMPRIMIDOS RECUBIERTOS 50mg,F-21546,LABORATORIOS RAFFO S.A.
359,Antidepresivo,SERTRALINA,Altruline,Roering ,SERTRALINA COMPRIMIDOS RECUBIERTOS 50 mg,F-12420,MINTLAB Co. S.A.
360,Antidepresivo,SERTRALINA,Altruline,Roering ,LOWFIN COMPRIMIDOS RECUBIERTOS 50 mg,F-12421,MINTLAB Co. S.A.
361,Antidepresivo,SERTRALINA,Altruline,Roering ,LOWFIN COMPRIMIDOS RECUBIERTOS 100 mg,F-13920,MINTLAB Co. S.A.
362,Antidepresivo,SERTRALINA,Altruline,Roering ,SERTRALINA COMPRIMIDOS RECUBIERTOS 100 mg,F-13921,MINTLAB Co. S.A.
363,Antidepresivo,SERTRALINA,Altruline,Roering ,SERTRALINA COMPRIMIDOS RECUBIERTOS 50 mg,F-18589,OPKO CHILE S.A.
364,Antidepresivo,SERTRALINA,Altruline,Roering ,SERONEX COMPRIMIDOS RECUBIERTOS 100 mg,F-20723,PHARMAVITA S.A.
365,Antidepresivo,SERTRALINA,Altruline,Roering ,SERONEX COMPRIMIDOS RECUBIERTOS 50 mg,F-20724,PHARMAVITA S.A.
366,Antidepresivo,SERTRALINA,Altruline,Roering ,DIELOFT COMPRIMIDOS RECUBIERTOS 50 mg,F-20517,SANOFI-AVENTIS DE CHILE S.A.
367,Antidepresivo,SERTRALINA,Altruline,Roering ,DIELOFT COMPRIMIDOS RECUBIERTOS 100 mg,F-20518,SANOFI-AVENTIS DE CHILE S.A.
368,Antidepresivo,SERTRALINA,Altruline,Roering ,DIELOFT COMPRIMIDOS RECUBIERTOS 50 mg,F-20519,SANOFI-AVENTIS DE CHILE S.A.
369,Antidepresivo,SERTRALINA,Altruline,Roering ,DIELOFT COMPRIMIDOS RECUBIERTOS 100 mg,F-21115,SANOFI-AVENTIS DE CHILE S.A.
370,Antidepresivo,SERTRALINA,Altruline,Roering ,IMPLICANE COMPRIMIDOS RECUBIERTOS 50 mg,F-650,TECNOFARMA S.A.
371,Antidepresivo,VENLAFAXINA,1.- Efexor                           2.-Venlafaxina          ,1.- Wyeth                              2.- Teva Pharmaceuticals ,VENLAVITAE CÁPSULAS CON COMPRIMIDOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 75 mg,F-22137,GALENICUM HEALTH CHILE S.p.A.
372,Antidepresivo,VENLAFAXINA,1.- Efexor                           2.-Venlafaxina          ,1.- Wyeth                              2.- Teva Pharmaceuticals ,VENLAVITAE CAPSULAS CON COMPRIMIDOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 150 mg,F-22138,GALENICUM HEALTH CHILE S.p.A.
373,Antidepresivo,VENLAFAXINA,1.- Efexor                           2.-Venlafaxina          ,1.- Wyeth                              2.- Teva Pharmaceuticals ,NERVIX COMPRIMIDOS RECUBIERTOS 75 mg,F-12491,LABORATORIO BAGÓ DE CHILE S.A.
374,Antidepresivo,VENLAFAXINA,1.- Efexor                           2.-Venlafaxina          ,1.- Wyeth                              2.- Teva Pharmaceuticals ,ECTIEN XR CÁPSULAS CON MICROGRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 150 mg,F-20044,LABORATORIO CHILE S.A.
375,Antidepresivo,VENLAFAXINA,1.- Efexor                           2.-Venlafaxina          ,1.- Wyeth                              2.- Teva Pharmaceuticals ,"ECTIEN XR CÁPSULAS CON MICROGRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 37,5 mg",F-20042,LABORATORIO CHILE S.A.
376,Antidepresivo,VENLAFAXINA,1.- Efexor                           2.-Venlafaxina          ,1.- Wyeth                              2.- Teva Pharmaceuticals ,ECTIEN XR CÁPSULAS CON MICROGRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 75 mg,F-20043,LABORATORIO CHILE S.A.
377,Antidepresivo,VENLAFAXINA,1.- Efexor                           2.-Venlafaxina          ,1.- Wyeth                              2.- Teva Pharmaceuticals ,AXONE CÁPSULAS CON MICROGRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 150 mg,F-20071,LABORATORIOS EUROMED CHILE S.A.
378,Antidepresivo,VENLAFAXINA,1.- Efexor                           2.-Venlafaxina          ,1.- Wyeth                              2.- Teva Pharmaceuticals ,SUBELAN XR CÁPSULAS CON COMPRIMIDOS DE LIBERACIÓN PROLONGADA 150 mg,F-20484,PHARMAVITA S.A.
379,Antidepresivo,VENLAFAXINA,1.- Efexor                           2.-Venlafaxina          ,1.- Wyeth                              2.- Teva Pharmaceuticals ,SUBELAN XR CÁPSULAS CON COMPRIMIDOS DE LIBERACIÓN PROLONGADA 75 mg,F-20485,PHARMAVITA S.A.
380,Antidepresivo,VENLAFAXINA,1.- Efexor                           2.-Venlafaxina          ,1.- Wyeth                              2.- Teva Pharmaceuticals ,VENLAFAXINA  IR COMPRIMIDOS 75 mg,F-20531,PHARMAVITA S.A.
381,Antidepresivo,VENLAFAXINA,1.- Efexor                           2.-Venlafaxina          ,1.- Wyeth                              2.- Teva Pharmaceuticals ,"SUBELAN XR CÁPSULAS CON COMPRIMIDOS DE LIBERACIÓN PROLONGADA 37,5 mg",F-20675,PHARMAVITA S.A.
382,Antidepresivo,VENLAFAXINA,1.- Efexor                           2.-Venlafaxina          ,1.- Wyeth                              2.- Teva Pharmaceuticals ,VENCONTROL CÁPSULAS CON MICROGRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 150 mg,F-20178,SANOFI-AVENTIS DE CHILE S.A.
383,Antidepresivo,VENLAFAXINA,1.- Efexor                           2.-Venlafaxina          ,1.- Wyeth                              2.- Teva Pharmaceuticals ,VENCONTROL CÁPSULAS CON MICROGRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 75 mg,F-20180,SANOFI-AVENTIS DE CHILE S.A.
384,Antidepresivo,VENLAFAXINA,1.- Efexor                           2.-Venlafaxina          ,1.- Wyeth                              2.- Teva Pharmaceuticals ,VENCONTROL CÁPSULAS CON MICROGRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 150 mg,F-20179,SANOFI-AVENTIS DE CHILE S.A.
385,Antidepresivo,VENLAFAXINA,1.- Efexor                           2.-Venlafaxina          ,1.- Wyeth                              2.- Teva Pharmaceuticals ,"VENCONTROL CÁPSULAS CON MICROGRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 37,5 mg",F-20216,SANOFI-AVENTIS DE CHILE S.A.
386,Antidepresivo,VENLAFAXINA,1.- Efexor                           2.-Venlafaxina          ,1.- Wyeth                              2.- Teva Pharmaceuticals ,"VENCONTROL CÁPSULAS CON MICROGRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 37,5mg",F-20217,SANOFI-AVENTIS DE CHILE S.A.
387,Antidepresivo,VENLAFAXINA,1.- Efexor                           2.-Venlafaxina          ,1.- Wyeth                              2.- Teva Pharmaceuticals ,VENCONTROL CÁPSULAS CON MICROGRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 75 mg,F-20218,SANOFI-AVENTIS DE CHILE S.A.
388,Antiemético,DOMPERIDONA,Motilium,Janseen ,GASDOL COMPRIMIDOS 10 mg,F-13961,LABORATORIO BAGÓ DE CHILE S.A.
389,Antiemético,DOMPERIDONA,Motilium,Janseen ,RESTOL CÁPSULAS 10 mg,F-4020,LABORATORIO CHILE S.A
390,Antiemético,DOMPERIDONA,Motilium,Janseen ,DOMPERIDONA CÁPSULAS 10 mg,F-6270,LABORATORIO CHILE S.A.
391,Antiemético,DOMPERIDONA,Motilium,Janseen ,DONEGAL COMPRIMIDOS RECUBIERTOS 10 mg,F-22396,MEDIPHARM LTDA.
392,Antiemético,DOMPERIDONA,Motilium,Janseen ,DOCIVIN CÁPSULAS 10 mg,F-18144,MINTLAB  CO. S.A.
393,Antiemético,DOMPERIDONA,Motilium,Janseen ,DOMPERIDONA CÁPSULAS 10 mg,F-18143,MINTLAB  CO. S.A.
394,Antiemético,DOMPERIDONA,Motilium,Janseen ,DOMPERIDONA COMPRIMIDOS 10 mg,F-17090,OPKO CHILE S.A.
395,Antiemético,DOMPERIDONA,Motilium,Janseen ,DOMPERIDONA COMPRIMIDOS RECUBIERTOS 10 mg,F-18856,OPKO CHILE S.A.
396,Antiemético,ONDANSETRON,Izofran,Glaxosmithkline ,ONDANVITAE COMPRIMIDOS RECUBIERTOS 8 mg,F-22377,GALENICUM HEALTH CHILE S.p.A.
397,Antiemético,ONDANSETRON,Izofran,Glaxosmithkline ,ONDANVITAE COMPRIMIDOS RECUBIERTOS 4 mg,F-22378,GALENICUM HEALTH CHILE S.p.A.
398,Antiemético,ONDANSETRON,Izofran,Glaxosmithkline ,ODATRON COMPRIMIDOS BUCODISPERSABLES 8 mg,F-19704,LABORATORIO PASTEUR S.A
399,Antiemético,ONDANSETRON,Izofran,Glaxosmithkline ,LEVROX COMPRIMIDOS RECUBIERTOS 8 mg,F-22014,SYNTHON CHILE LTDA.
400,Antiepiléptico,ÁCIDO VALPRÓICO,Valcote ,Abbott,DIVALPREX COMPRIMIDOS CON RECUBRIMIENTO ENTERICO 5OO mg,F-22194,GADOR LTDA.
401,Antiepiléptico,ÁCIDO VALPRÓICO,Valcote ,Abbott,DIVALPREX COMPRIMIDOS CON RECUBRIMIENTO ENTERICO 5OO mg,F-22179,GADOR LTDA.
402,Antiepiléptico,TOPIRAMATO,Topamax,Johnson & Johnson ,TOPIVITAE COMPRIMIDOS RECUBIERTOS 100 mg,F-22379,GALENICUM HEALTH CHILE S.p.A.
403,Antiepiléptico,TOPIRAMATO,Topamax,Johnson & Johnson ,TOPIVITAE COMPRIMIDOS RECUBIERTOS 50 mg,F-22380,GALENICUM HEALTH CHILE S.p.A.
404,Antiepiléptico,TOPIRAMATO,Topamax,Johnson & Johnson ,TOPIVITAE COMPRIMIDOS RECUBIERTOS 25 mg,F-22381,GALENICUM HEALTH CHILE S.p.A.
405,Antiepiléptico,TOPIRAMATO,Topamax,Johnson & Johnson ,AMATO COMPRIMIDOS RECUBIERTOS  100 mg,F-19772,LABORATORIOS EUROMED CHILE S.A.
406,Antiepiléptico,TOPIRAMATO,Topamax,Johnson & Johnson ,BIOMOOD COMPRIMIDOS RECUBIERTOS 100 mg,F-20534,LABORATORIOS SAVAL S.A.
407,Antiepiléptico,TOPIRAMATO,Topamax,Johnson & Johnson ,BIOMOOD COMPRIMIDOS RECUBIERTOS 50 mg,F-20659,LABORATORIOS SAVAL S.A.
408,Antiepiléptico,TOPIRAMATO,Topamax,Johnson & Johnson ,BIOMOOD COMPRIMIDOS RECUBIERTOS 25 mg,F-20720,LABORATORIOS SAVAL S.A.
409,Antiepiléptico,TOPIRAMATO,Topamax,Johnson & Johnson ,TOPICTAL COMPRIMIDOS RECUBIERTOS 100 mg,F-13237,TECNOFARMA S.A.
410,Antiepiléptico - Dolores neurálgicos,GABAPENTINA,Normatol,Pfizer ,RITMENAL CÁPSULAS 300 mg,F-7427,INSTITUTO SANITAS S.A.
411,Antiepiléptico - Dolores neurálgicos,GABAPENTINA,Normatol,Pfizer ,RITMENAL CÁPSULAS 400 mg,F-7428,INSTITUTO SANITAS S.A.
412,Antiepiléptico - Dolores neurálgicos,GABAPENTINA,Normatol,Pfizer ,GABEX COMPRIMIDOS RECUBIERTOS 600 mg,F-14163,LABORATORIOS ANDRÓMACO S.A.
413,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer ,PREGABAX 75 CÁPSULAS 75 mg,F-18424,GADOR LTDA.
414,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer ,PRESTAT COMPRIMIDOS 150 mg,F-19906,LABORATORIO BAGÓ DE CHILE S.A.
415,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer ,PRESTAT COMPRIMIDOS 75 mg,F-19905,LABORATORIO BAGÓ DE CHILE S.A.
416,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer ,ALIVAX COMPRIMIDOS 75 mg,F-22346,LABORATORIO CHILE S.A.
417,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer ,ALIVAX CÁPSULAS 75 mg,F-17971,LABORATORIO CHILE S.A.
418,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer ,ALIVAX CÁPSULAS 150 mg,F-17582,LABORATORIO CHILE S.A.
419,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer ,PREGALEX COMPRIMIDOS 150 mg,F-16184,LABORATORIOS ANDRÓMACO S.A.
420,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer ,PREGALEX COMPRIMIDOS 75 mg.,F-16183,LABORATORIOS ANDRÓMACO S.A.
421,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer ,PREGABALINA CÁPSULAS 150 mg,F-22320,LABORATORIOS RAFFO S.A.
422,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer ,PREGABALINA CÁPSULAS 75 mg,F-22319,LABORATORIOS RAFFO S.A.
423,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer ,PREGOBIN CÁPSULAS 50 mg,F-21902,LABORATORIOS RECALCINE S.A.
424,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer ,PREGOBIN CÁPSULAS 25 mg,F-21903,LABORATORIOS RECALCINE S.A.
425,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer ,PREGOBIN CÁPSULAS 75 mg,F-15321,LABORATORIOS RECALCINE S.A.
426,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer ,PREGOBIN ODT COMPRIMIDOS DISPERSABLES 25 mg,F-22183,LABORATORIOS RECALCINE S.A.
427,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer ,PREGOBIN ODT COMPRIMIDOS DISPERSABLES 50 mg,F-22184,LABORATORIOS RECALCINE S.A.
428,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer ,PREGOBIN CÁPSULAS 150 mg,F-15322,LABORATORIOS RECALCINE S.A.
429,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer ,NEURUM CÁPSULAS 150 mg,F-15733,LABORATORIOS SAVAL S.A.
430,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer ,NEURUM CÁPSULAS 75 mg,F-15732,LABORATORIOS SAVAL S.A.
431,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer ,NEURUM CAPSULAS 50 mg,F-18952,LABORATORIOS SAVAL S.A.
432,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer ,PREGASTAR CÁPSULAS  75 mg,F-19710,NOVARTIS CHILE S.A.
433,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer ,PREGASTAR CÁPSULAS 150 mg,F-19711,NOVARTIS CHILE S.A.
434,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer ,PREGASTAR CÁPSULAS 300 mg ,F-19709,NOVARTIS CHILE S.A.
435,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer ,PREFAXIL CÁPSULAS 150 mg (PREGABALINA),F-16887,PHARMA INVESTI DE CHILE S.A
436,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer ,PREFAXIL CÁPSULAS 75 mg (PREGABALINA),F-16886,PHARMA INVESTI DE CHILE S.A.
437,Antiepiléptico - Estabilizador del estado de ánimo,CARBAMAZEPINA,Tegretal,Novartis ,CARBAMAZEPINA COMPRIMIDOS 200 mg,F-3893,LABORATORIO CHILE S.A.
438,Antiepiléptico - Estabilizador del estado de ánimo,CARBAMAZEPINA,Tegretal,Novartis ,CARBAMAZEPINA COMPRIMIDOS 200 mg,F-6873,MINTLAB Co. S.A.
439,Antiepiléptico - Estabilizador del estado de ánimo,LAMOTRIGINA,Lamictal,Glaxosmithkline,TRADOX COMPRIMIDOS 50 mg,F-12190,LABORATORIOS ANDRÓMACO S.A.
440,Antiepiléptico - Estabilizador del estado de ánimo,LAMOTRIGINA,Lamictal,Glaxosmithkline,TRADOX COMPRIMIDOS 100 mg,F-12191,LABORATORIOS ANDRÓMACO S.A.
441,Antiepiléptico - Estabilizador del estado de ánimo,LAMOTRIGINA,Lamictal,Glaxosmithkline,TRADOX COMPRIMIDOS 25 mg,F-12189,LABORATORIOS ANDRÓMACO S.A.
442,Antiepiléptico - Estabilizador del estado de ánimo,LAMOTRIGINA,Lamictal,Glaxosmithkline,LETICO COMPRIMIDOS 100 mg,F-21013,LABORATORIOS EUROMED CHILE S.A.
