"Listado de productos Bioequivalentes, actualizado al 31 de Diciembre de 2015",,,,,,,
N°,Uso / Tratamiento,Principio Activo,Producto de referencia,Titular,Producto,Registro,Titular
301,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,NEOZENTIUS COMPRIMIDOS RECUBIERTOS 10 mg,F-15087,PHARMA INVESTI DE CHILE S.A.
302,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,RESTAURAL COMPRIMIDOS RECUBIERTOS 20 mg,F-20627,PHARMAVITA S.A.
303,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,RESTAURAL COMPRIMIDOS RECUBIERTOS 10 mg,F-20626,PHARMAVITA S.A.
304,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ERLINIZ COMPRIMIDOS RECUBIERTOS 10 mg (ESCITALOPRAM),F-21635,SANOFI-AVENTIS DE CHILE S.A.
305,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,"ERLINIZ COMPRIMIDOS RECUBIERTOS 20 mg
(Escitalopram)",F-21636,SANOFI-AVENTIS DE CHILE S.A.
306,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,LUNDYA COMPRIMIDOS RECUBIERTOS 10 mg,F-21219,SYNTHON  CHILE LTDA.
307,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,LUNDYA COMPRIMIDOS RECUBIERTOS 20 mg,F-21220,SYNTHON  CHILE LTDA.
308,Antidepresivo,FLUOXETINA,Livertox,Laboratorio Bagó,ACTAN CÁPSULAS 20 mg,F-5446,EUROLAB LTDA.
309,Antidepresivo,FLUOXETINA,Livertox,Laboratorio Bagó,FLUOXETINA COMPRIMIDOS 20 mg,F-467,INSTITUTO SANITAS S.A.
310,Antidepresivo,FLUOXETINA,Livertox,Laboratorio Bagó,CLINIUM CÁPSULAS 20 mg,F-8894,INSTITUTO SANITAS S.A.
311,Antidepresivo,FLUOXETINA,Livertox,Laboratorio Bagó,LIVERTOX COMPRIMIDOS RECUBIERTOS 20 mg,F-9657,LABORATORIO BAGÓ DE CHILE S.A.
312,Antidepresivo,FLUOXETINA,Livertox,Laboratorio Bagó,FLUOXETINA COMPRIMIDOS 20 mg,F-8411,LABORATORIO CHILE S.A.
313,Antidepresivo,FLUOXETINA,Livertox,Laboratorio Bagó,SOSTAC COMPRIMIDOS 20 mg,F-8497,LABORATORIO CHILE S.A.
314,Antidepresivo,FLUOXETINA,Livertox,Laboratorio Bagó,FLUOXETINA COMPRIMIDOS 20 mg,F-14351,LABORATORIOS ANDRÓMACO S.A.
315,Antidepresivo,MIRTAZAPINA,Promyrtil,Schering Plough,DIVARIL COMPRIMIDOS RECUBIERTOS 30 mg,F-9774,TECNOFARMA S.A.
316,Antidepresivo,PAROXETINA,Aroxat,Glaxosmithkline,PAMAX COMPRIMIDOS RECUBIERTOS 20 mg,F-9013,INSTITUTO SANITAS S.A.
317,Antidepresivo,PAROXETINA,Aroxat,Glaxosmithkline,POSIVYL COMPRIMIDOS RECUBIERTOS 20 mg,F-8481,LABORATORIO CHILE S.A.
318,Antidepresivo,PAROXETINA,Aroxat,Glaxosmithkline,PAROXETINA COMPRIMIDOS RECUBIERTOS 20 mg,F-13726,LABORATORIO CHILE S.A.
319,Antidepresivo,PAROXETINA,Aroxat,Glaxosmithkline,PAROXETINA COMPRIMIDOS RECUBIERTOS 20 mg,F-18058,LABORATORIOS ANDRÓMACO S.A.
320,Antidepresivo,PAROXETINA,Aroxat,Glaxosmithkline,TRAVIATA COMPRIMIDOS RECUBIERTOS 20 mg,F-9538,LABORATORIOS ANDRÓMACO S.A.
321,Antidepresivo,PAROXETINA,Aroxat,Glaxosmithkline,PAROXETINA COMPRIMIDOS RECUBIERTOS 20 mg,F-16751,MINTLAB CO. S.A.
322,Antidepresivo,PAROXETINA,Aroxat,Glaxosmithkline,SUPTRAN COMPRIMIDOS RECUBIERTOS 20 mg,F-16752,MINTLAB CO. S.A.
323,Antidepresivo,PAROXETINA,Aroxat,Glaxosmithkline,PARLUXETIL COMPRIMIDOS RECUBIERTOS 40 mg,F-21098,NOVARTIS CHILE S.A.
324,Antidepresivo,PAROXETINA,Aroxat,Glaxosmithkline,PARLUXETIL COMPRIMIDOS RECUBIERTOS 20 mg,F-21097,NOVARTIS CHILE S.A.
325,Antidepresivo,PAROXETINA,Aroxat,Glaxosmithkline,ZEQUIVEC COMPRIMIDOS RECUBIERTOS 20 mg,F-20668,SANOFI-AVENTIS DE CHILE S.A.
326,Antidepresivo,PAROXETINA,Aroxat,Glaxosmithkline,DRIMPAX COMPRIMIDOS RECUBIERTOS 20 mg,F-18001,SYNTHON  CHILE LTDA.
327,Antidepresivo,SERTRALINA,Altruline,Roering,EMERGEN COMPRIMIDOS 100 mg,F-13297,LABORATORIO CHILE S.A.
328,Antidepresivo,SERTRALINA,Altruline,Roering,SERTRALINA COMPRIMIDOS 100 mg,F-18767,LABORATORIO CHILE S.A.
329,Antidepresivo,SERTRALINA,Altruline,Roering,SERTRALINA COMPRIMIDOS RECUBIERTOS 100 mg,F-20974,LABORATORIOS ANDRÓMACO S.A.
330,Antidepresivo,SERTRALINA,Altruline,Roering,SERTAC COMPRIMIDOS RECUBIERTOS 100 mg,F-20975,LABORATORIOS ANDRÓMACO S.A.
331,Antidepresivo,SERTRALINA,Altruline,Roering,SERTRALINA COMPRIMIDOS RECUBIERTOS 50 mg,F-20976,LABORATORIOS ANDRÓMACO S.A.
332,Antidepresivo,SERTRALINA,Altruline,Roering,SERTAC COMPRIMIDOS RECUBIERTOS 50 mg,F-20977,LABORATORIOS ANDRÓMACO S.A.
333,Antidepresivo,SERTRALINA,Altruline,Roering,SEDORAN COMPRIMIDOS RECUBIERTOS 100 mg,F-21524,LABORATORIOS RAFFO S.A.
334,Antidepresivo,SERTRALINA,Altruline,Roering,SEDORAN COMPRIMIDOS RECUBIERTOS 50mg,F-21546,LABORATORIOS RAFFO S.A.
335,Antidepresivo,SERTRALINA,Altruline,Roering,SERTRALINA COMPRIMIDOS RECUBIERTOS 50 mg,F-12420,MINTLAB Co. S.A.
336,Antidepresivo,SERTRALINA,Altruline,Roering,LOWFIN COMPRIMIDOS RECUBIERTOS 50 mg,F-12421,MINTLAB Co. S.A.
337,Antidepresivo,SERTRALINA,Altruline,Roering,LOWFIN COMPRIMIDOS RECUBIERTOS 100 mg,F-13920,MINTLAB Co. S.A.
338,Antidepresivo,SERTRALINA,Altruline,Roering,SERTRALINA COMPRIMIDOS RECUBIERTOS 100 mg,F-13921,MINTLAB Co. S.A.
339,Antidepresivo,SERTRALINA,Altruline,Roering,SERTRALINA COMPRIMIDOS RECUBIERTOS 50 mg,F-18589,OPKO CHILE S.A.
340,Antidepresivo,SERTRALINA,Altruline,Roering,SERONEX COMPRIMIDOS RECUBIERTOS 100 mg,F-20723,PHARMAVITA S.A.
341,Antidepresivo,SERTRALINA,Altruline,Roering,SERONEX COMPRIMIDOS RECUBIERTOS 50 mg,F-20724,PHARMAVITA S.A.
342,Antidepresivo,SERTRALINA,Altruline,Roering,DIELOFT COMPRIMIDOS RECUBIERTOS 50 mg,F-20517,SANOFI-AVENTIS DE CHILE S.A.
343,Antidepresivo,SERTRALINA,Altruline,Roering,DIELOFT COMPRIMIDOS RECUBIERTOS 100 mg,F-20518,SANOFI-AVENTIS DE CHILE S.A.
344,Antidepresivo,SERTRALINA,Altruline,Roering,DIELOFT COMPRIMIDOS RECUBIERTOS 50 mg,F-20519,SANOFI-AVENTIS DE CHILE S.A.
345,Antidepresivo,SERTRALINA,Altruline,Roering,DIELOFT COMPRIMIDOS RECUBIERTOS 100 mg,F-21115,SANOFI-AVENTIS DE CHILE S.A.
346,Antidepresivo,SERTRALINA,Altruline,Roering,IMPLICANE COMPRIMIDOS RECUBIERTOS 50 mg,F-650,TECNOFARMA S.A.
347,Antidepresivo,VENLAFAXINA,1.- Efexor 2.-Venlafaxina,"1.- Wyeth 2.- Teva
Pharmaceuticals",VENLAVITAE CÁPSULAS CON COMPRIMIDOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 75 mg,F-22137,GALENICUM HEALTH CHILE S.p.A.
348,Antidepresivo,VENLAFAXINA,1.- Efexor 2.-Venlafaxina,"1.- Wyeth 2.- Teva
Pharmaceuticals",VENLAVITAE CAPSULAS CON COMPRIMIDOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 150 mg,F-22138,GALENICUM HEALTH CHILE S.p.A.
349,Antidepresivo,VENLAFAXINA,1.- Efexor 2.-Venlafaxina,"1.- Wyeth 2.- Teva
Pharmaceuticals",NERVIX COMPRIMIDOS RECUBIERTOS 75 mg,F-12491,LABORATORIO BAGÓ DE CHILE S.A.
350,Antidepresivo,VENLAFAXINA,1.- Efexor 2.-Venlafaxina,"1.- Wyeth 2.- Teva
Pharmaceuticals",ECTIEN XR CÁPSULAS CON MICROGRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 150 mg,F-20044,LABORATORIO CHILE S.A.
351,Antidepresivo,VENLAFAXINA,1.- Efexor 2.-Venlafaxina,"1.- Wyeth 2.- Teva
Pharmaceuticals","ECTIEN XR CÁPSULAS CON MICROGRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 37,5 mg",F-20042,LABORATORIO CHILE S.A.
352,Antidepresivo,VENLAFAXINA,1.- Efexor 2.-Venlafaxina,"1.- Wyeth 2.- Teva
Pharmaceuticals",ECTIEN XR CÁPSULAS CON MICROGRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 75 mg,F-20043,LABORATORIO CHILE S.A.
353,Antidepresivo,VENLAFAXINA,1.- Efexor 2.-Venlafaxina,"1.- Wyeth 2.- Teva
Pharmaceuticals",AXONE CÁPSULAS CON MICROGRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 150 mg,F-20071,LABORATORIOS EUROMED CHILE S.A.
354,Antidepresivo,VENLAFAXINA,1.- Efexor 2.-Venlafaxina,"1.- Wyeth 2.- Teva
Pharmaceuticals",SUBELAN XR CÁPSULAS CON COMPRIMIDOS DE LIBERACIÓN PROLONGADA 150 mg,F-20484,PHARMAVITA S.A.
355,Antidepresivo,VENLAFAXINA,1.- Efexor 2.-Venlafaxina,"1.- Wyeth 2.- Teva
Pharmaceuticals",SUBELAN XR CÁPSULAS CON COMPRIMIDOS DE LIBERACIÓN PROLONGADA 75 mg,F-20485,PHARMAVITA S.A.
356,Antidepresivo,VENLAFAXINA,1.- Efexor 2.-Venlafaxina,"1.- Wyeth 2.- Teva
Pharmaceuticals",VENLAFAXINA IR COMPRIMIDOS 75 mg,F-20531,PHARMAVITA S.A.
357,Antidepresivo,VENLAFAXINA,1.- Efexor 2.-Venlafaxina,"1.- Wyeth 2.- Teva
Pharmaceuticals","SUBELAN XR CÁPSULAS CON COMPRIMIDOS DE LIBERACIÓN PROLONGADA 37,5 mg",F-20675,PHARMAVITA S.A.
358,Antidepresivo,VENLAFAXINA,1.- Efexor 2.-Venlafaxina,"1.- Wyeth 2.- Teva
Pharmaceuticals",VENCONTROL CÁPSULAS CON MICROGRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 150 mg,F-20178,SANOFI-AVENTIS DE CHILE S.A.
359,Antidepresivo,VENLAFAXINA,1.- Efexor 2.-Venlafaxina,"1.- Wyeth 2.- Teva
Pharmaceuticals",VENCONTROL CÁPSULAS CON MICROGRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 75 mg,F-20180,SANOFI-AVENTIS DE CHILE S.A.
360,Antidepresivo,VENLAFAXINA,1.- Efexor 2.-Venlafaxina,"1.- Wyeth 2.- Teva
Pharmaceuticals",VENCONTROL CÁPSULAS CON MICROGRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 150 mg,F-20179,SANOFI-AVENTIS DE CHILE S.A.
361,Antidepresivo,VENLAFAXINA,1.- Efexor 2.-Venlafaxina,"1.- Wyeth 2.- Teva
Pharmaceuticals","VENCONTROL CÁPSULAS CON MICROGRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 37,5 mg",F-20216,SANOFI-AVENTIS DE CHILE S.A.
362,Antidepresivo,VENLAFAXINA,1.- Efexor 2.-Venlafaxina,"1.- Wyeth 2.- Teva
Pharmaceuticals","VENCONTROL CÁPSULAS CON MICROGRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 37,5mg",F-20217,SANOFI-AVENTIS DE CHILE S.A.
363,Antidepresivo,VENLAFAXINA,1.- Efexor 2.-Venlafaxina,"1.- Wyeth 2.- Teva
Pharmaceuticals",VENCONTROL CÁPSULAS CON MICROGRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 75 mg,F-20218,SANOFI-AVENTIS DE CHILE S.A.
364,Antiemético,DOMPERIDONA,Motilium,Janseen,GASDOL COMPRIMIDOS 10 mg,F-13961,LABORATORIO BAGÓ DE CHILE S.A.
365,Antiemético,DOMPERIDONA,Motilium,Janseen,RESTOL CÁPSULAS 10 mg,F-4020,LABORATORIO CHILE S.A
366,Antiemético,DOMPERIDONA,Motilium,Janseen,DOMPERIDONA CÁPSULAS 10 mg,F-6270,LABORATORIO CHILE S.A.
367,Antiemético,DOMPERIDONA,Motilium,Janseen,DOCIVIN CÁPSULAS 10 mg,F-18144,MINTLAB CO. S.A.
368,Antiemético,DOMPERIDONA,Motilium,Janseen,DOMPERIDONA CÁPSULAS 10 mg,F-18143,MINTLAB CO. S.A.
369,Antiemético,DOMPERIDONA,Motilium,Janseen,DOMPERIDONA COMPRIMIDOS 10 mg,F-17090,OPKO CHILE S.A.
370,Antiemético,DOMPERIDONA,Motilium,Janseen,DOMPERIDONA COMPRIMIDOS RECUBIERTOS 10 mg,F-18856,OPKO CHILE S.A.
371,Antiemético,ONDANSETRON,Izofran,Glaxosmithkline,LEVROX COMPRIMIDOS RECUBIERTOS 8 mg,F-22014,SYNTHON CHILE LTDA.
372,Antiepiléptico,TOPIRAMATO,Topamax,Johnson & Johnson,AMATO COMPRIMIDOS RECUBIERTOS 100 mg,F-19772,LABORATORIOS EUROMED CHILE S.A.
373,Antiepiléptico,TOPIRAMATO,Topamax,Johnson & Johnson,BIOMOOD COMPRIMIDOS RECUBIERTOS 100 mg,F-20534,LABORATORIOS SAVAL S.A.
374,Antiepiléptico,TOPIRAMATO,Topamax,Johnson & Johnson,BIOMOOD COMPRIMIDOS RECUBIERTOS 50 mg,F-20659,LABORATORIOS SAVAL S.A.
375,Antiepiléptico,TOPIRAMATO,Topamax,Johnson & Johnson,BIOMOOD COMPRIMIDOS RECUBIERTOS 25 mg,F-20720,LABORATORIOS SAVAL S.A.
376,Antiepiléptico,TOPIRAMATO,Topamax,Johnson & Johnson,TOPICTAL COMPRIMIDOS RECUBIERTOS 100 mg,F-13237,TECNOFARMA S.A.
377,Antiepiléptico - Dolores neurálgicos,GABAPENTINA,Normatol,Pfizer,RITMENAL CÁPSULAS 300 mg,F-7427,INSTITUTO SANITAS S.A.
378,Antiepiléptico - Dolores neurálgicos,GABAPENTINA,Normatol,Pfizer,GABEX COMPRIMIDOS RECUBIERTOS 600 mg,F-14163,LABORATORIOS ANDRÓMACO S.A.
379,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer,PREGABAX 75 CÁPSULAS 75 mg,F-18424,GADOR LTDA.
380,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer,PRESTAT COMPRIMIDOS 150 mg,F-19906,LABORATORIO BAGÓ DE CHILE S.A.
381,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer,PRESTAT COMPRIMIDOS 75 mg,F-19905,LABORATORIO BAGÓ DE CHILE S.A.
382,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer,ALIVAX COMPRIMIDOS 75 mg,F-22346,LABORATORIO CHILE S.A.
383,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer,PREGALEX COMPRIMIDOS 150 mg,F-16184,LABORATORIOS ANDRÓMACO S.A.
384,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer,PREGALEX COMPRIMIDOS 75 mg.,F-16183,LABORATORIOS ANDRÓMACO S.A.
385,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer,PREGABALINA CÁPSULAS 150 mg,F-22320,LABORATORIOS RAFFO S.A.
386,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer,PREGABALINA CÁPSULAS 75 mg,F-22319,LABORATORIOS RAFFO S.A.
387,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer,PREGOBIN CÁPSULAS 50 mg,F-21902,LABORATORIOS RECALCINE S.A.
388,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer,PREGOBIN CÁPSULAS 25 mg,F-21903,LABORATORIOS RECALCINE S.A.
389,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer,PREGOBIN CÁPSULAS 75 mg,F-15321,LABORATORIOS RECALCINE S.A.
390,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer,PREGOBIN ODT COMPRIMIDOS DISPERSABLES 25 mg,F-22183,LABORATORIOS RECALCINE S.A.
391,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer,PREGOBIN ODT COMPRIMIDOS DISPERSABLES 50 mg,F-22184,LABORATORIOS RECALCINE S.A.
392,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer,PREGOBIN CÁPSULAS 150 mg,F-15322,LABORATORIOS RECALCINE S.A.
393,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer,NEURUM CÁPSULAS 150 mg,F-15733,LABORATORIOS SAVAL S.A.
394,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer,NEURUM CÁPSULAS 75 mg,F-15732,LABORATORIOS SAVAL S.A.
395,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer,NEURUM CAPSULAS 50 mg,F-18952,LABORATORIOS SAVAL S.A.
396,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer,PREGASTAR CÁPSULAS 75 mg,F-19710,NOVARTIS CHILE S.A.
397,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer,PREGASTAR CÁPSULAS 150 mg,F-19711,NOVARTIS CHILE S.A.
398,Antiepiléptico - Dolores neurálgicos,PREGABALINA,Lyrica,Pfizer,PREGASTAR CÁPSULAS 300 mg,F-19709,NOVARTIS CHILE S.A.
399,Antiepiléptico - Estabilizador del estado de ánimo,CARBAMAZEPINA,Tegretal,Novartis,CARBAMAZEPINA COMPRIMIDOS 200 mg,F-3893,LABORATORIO CHILE S.A.
400,Antiepiléptico - Estabilizador del estado de ánimo,CARBAMAZEPINA,Tegretal,Novartis,CARBAMAZEPINA COMPRIMIDOS 200 mg,F-6873,MINTLAB Co. S.A.
401,Antiepiléptico - Estabilizador del estado de ánimo,LAMOTRIGINA,Lamictal,Glaxosmithkline,TRADOX COMPRIMIDOS 50 mg,F-12190,LABORATORIOS ANDRÓMACO S.A.
402,Antiepiléptico - Estabilizador del estado de ánimo,LAMOTRIGINA,Lamictal,Glaxosmithkline,TRADOX COMPRIMIDOS 100 mg,F-12191,LABORATORIOS ANDRÓMACO S.A.
403,Antiepiléptico - Estabilizador del estado de ánimo,LAMOTRIGINA,Lamictal,Glaxosmithkline,LETICO COMPRIMIDOS 100 mg,F-21013,LABORATORIOS EUROMED CHILE S.A.
404,Antiepiléptico - Estabilizador del estado de ánimo,LAMOTRIGINA,Lamictal,Glaxosmithkline,LETICO COMPRIMIDOS 25 mg,F-21014,LABORATORIOS EUROMED CHILE S.A.
405,Antiepiléptico - Estabilizador del estado de ánimo,LAMOTRIGINA,Lamictal,Glaxosmithkline,LETICO COMPRIMIDOS 50 mg,F-21137,LABORATORIOS EUROMED CHILE S.A.
406,Antiepiléptico - Estabilizador del estado de ánimo,LAMOTRIGINA,Lamictal,Glaxosmithkline,LAMITRIM COMPRIMIDOS 50 mg,F-21027,MEDINOVA FARMA LTDA.
407,Antiepiléptico - Estabilizador del estado de ánimo,LAMOTRIGINA,Lamictal,Glaxosmithkline,LAMETON COMPRIMIDOS DISPERSABLES 100 mg,F-20101,NOVARTIS CHILE S.A.
408,Antiepiléptico - Estabilizador del estado de ánimo,LAMOTRIGINA,Lamictal,Glaxosmithkline,DAKSOL COMPRIMIDOS 25 mg,F-20544,PHARMAVITA S.A.
409,Antiepiléptico - Estabilizador del estado de ánimo,LAMOTRIGINA,Lamictal,Glaxosmithkline,DAKSOL COMPRIMIDOS 50 mg,F-20545,PHARMAVITA S.A.
410,Antiepiléptico - Estabilizador del estado de ánimo,LAMOTRIGINA,Lamictal,Glaxosmithkline,DAKSOL COMPRIMIDOS 100 mg,F-20546,PHARMAVITA S.A.
411,Antiepiléptico - Estabilizador del estado de ánimo,LEVETIRACETAM,Keppra,Glaxosmithkline,LEVEVITAE COMPRIMIDOS RECUBIERTOS 1000 mg,F-21461,GALENICUM HEALTH CHILE S.p.A.
412,Antiepiléptico - Estabilizador del estado de ánimo,LEVETIRACETAM,Keppra,Glaxosmithkline,LEVEVITAE COMPRIMIDOS RECUBIERTOS 500mg,F-21597,GALENICUM HEALTH CHILE S.p.A.
413,Antiepiléptico - Estabilizador del estado de ánimo,LEVETIRACETAM,Keppra,Glaxosmithkline,LEVEPSY COMPRIMIDOS RECUBIERTOS 1000 mg,F-21205,INDOPHARMA S.A.
414,Antiepiléptico - Estabilizador del estado de ánimo,LEVETIRACETAM,Keppra,Glaxosmithkline,LEVEPSY COMPRIMIDOS RECUBIERTOS 500 mg,F-21204,INDOPHARMA S.A.
415,Antiepiléptico - Estabilizador del estado de ánimo,LEVETIRACETAM,Keppra,Glaxosmithkline,LEVETIRACETAM COMPRIMIDOS RECUBIERTOS 1.000 mg,F-20722,LABORATORIOS EUROMED CHILE S.A.
416,Antiepiléptico - Estabilizador del estado de ánimo,LEVETIRACETAM,Keppra,Glaxosmithkline,LEVETIRACETAM COMPRIMIDOS RECUBIERTOS 500 mg,F-20905,LABORATORIOS EUROMED CHILE S.A.
417,Antiepiléptico - Estabilizador del estado de ánimo,LEVETIRACETAM,Keppra,Glaxosmithkline,KOPODEX COMPRIMIDOS RECUBIERTOS 500 mg,F-13525,LABORATORIOS RECALCINE S.A.
418,Antiepiléptico - Estabilizador del estado de ánimo,LEVETIRACETAM,Keppra,Glaxosmithkline,KOPODEX COMPRIMIDOS RECUBIERTOS 1000 mg,F-13526,LABORATORIOS RECALCINE S.A.
419,Antiepiléptico - Estabilizador del estado de ánimo,LEVETIRACETAM,Keppra,Glaxosmithkline,CEUMID COMPRIMIDOS RECUBIERTOS 1000 mg,F-14833,PHARMA INVESTI DE CHILE S.A.
420,Antiepiléptico - Estabilizador del estado de ánimo,LEVETIRACETAM,Keppra,Glaxosmithkline,KREDIT 1000 COMPRIMIDOS RECUBIERTOS 1000 mg,F-21958,PHARMA INVESTI DE CHILE S.A.
421,Antiepiléptico - Estabilizador del estado de ánimo,LEVETIRACETAM,Keppra,Glaxosmithkline,KREDIT COMPRIMIDOS RECUBIERTOS 500 mg,F-21971,PHARMA INVESTI DE CHILE S.A.
422,Antiepiléptico - Estabilizador del estado de ánimo,LEVETIRACETAM,Keppra,Glaxosmithkline,CEUMID COMPRIMIDOS RECUBIERTOS 500 mg,F-14832,PHARMA INVESTI DE CHILE S.A.
423,Antiepiléptico - Estabilizador del estado de ánimo,LEVETIRACETAM,Keppra,Glaxosmithkline,PREBB COMPRIMIDOS RECUBIERTOS 1000 mg,F-19377,SYNTHON  CHILE LTDA.
424,Antiepiléptico - Estabilizador del estado de ánimo,LEVETIRACETAM,Keppra,Glaxosmithkline,PREBB COMPRIMIDOS RECUBIERTOS 500 mg,F-19378,SYNTHON  CHILE LTDA.
425,Antiepiléptico - Estabilizador del estado de ánimo,LEVETIRACETAM,Keppra,Glaxosmithkline,PREBB COMPRIMIDOS RECUBIERTOS 500 mg,F-21229,SYNTHON  CHILE LTDA.
426,Antiepiléptico - Estabilizador del estado de ánimo,LEVETIRACETAM,Keppra,Glaxosmithkline,PREBB COMPRIMIDOS RECUBIERTOS 1000 mg,F-21228,SYNTHON  CHILE LTDA.
427,Antiespasmódico,TRIMEBUTINA,Debridat,Pfizer,DOLPIC COMPRIMIDOS 200 mg,F-4152,LABORATORIO PASTEUR S.A.
428,Antiespasmódico,TRIMEBUTINA,Debridat,Pfizer,TREBUTEL COMPRIMIDOS 100 mg,F-11557,LABORATORIOS ANDRÓMACO S.A.
429,Antiespasmódico,TRIMEBUTINA,Debridat,Pfizer,TRIMEBUTINA MALEATO COMPRIMIDOS 100 mg,F-6578,LABORATORIOS ANDRÓMACO S.A.
430,Antiespasmódico,TRIMEBUTINA,Debridat,Pfizer,TRIMEBUTINA MALEATO CÁPSULAS BLANDAS 200 mg,F-21821,LABORATORIOS EUROMED CHILE S.A.
431,Antiespasmódico,TRIMEBUTINA,Debridat,Pfizer,TRIMEBUTINO MALEATO COMPRIMIDOS 100 mg.,F-12361,MINTLAB CO. S.A.
432,Antifúngico,FLUCONAZOL,Diflucan,Pfizer,FLUCONAZOL CÁPSULAS 150 mg,F-4322,INTERPHARMA S.A.
433,Antifúngico,FLUCONAZOL,Diflucan,Pfizer,FELSOL CÁPSULAS 150 mg,F-7116,LABORATORIO PASTEUR S.A.
434,Antifúngico,FLUCONAZOL,Diflucan,Pfizer,FLUCTIN CÁPSULAS 150 mg,F-487,LABORATORIOS LAFI LTDA.
435,Antifúngico,FLUCONAZOL,Diflucan,Pfizer,PLUSGIN CÁPSULAS 150 mg,F-21281,LABORATORIOS RAFFO S.A.
436,Antifúngico,VORICONAZOL,Vfend,Pfizer,ZIVENAD COMPRIMIDOS RECUBIERTOS 200 mg,F-20946,SYNTHON  CHILE LTDA.
437,Antijaquecoso,NARATRIPTAN,Naramig,Glaxosmithkline,"BAGOMIGRAL COMPRIMIDOS RECUBIERTOS 2,5 mg",F-17375,LABORATORIO BAGÓ DE CHILE S.A.
438,Antimicotico,TERBINAFINA,Lamisil,Laboratorios Phoenix,MICOSET COMPRIMIDOS 250 mg.,F-12145,LABORATORIO BAGÓ DE CHILE S.A.
439,Antimicotico,TERBINAFINA,Lamisil,Laboratorios Phoenix,TERBINAFINA COMPRIMIDOS 250 mg,F-15330,LABORATORIO CHILE S.A.
440,Antimicotico,TERBINAFINA,Lamisil,Laboratorios Phoenix,DERMOXYL COMPRIMIDOS 250 mg,F-2434,LABORATORIO CHILE S.A.
441,Antimicotico,TERBINAFINA,Lamisil,Laboratorios Phoenix,TERBINAFINA COMPRIMIDOS 250 mg,F-14052,MINTLAB CO. S.A.
442,Antimicotico,TERBINAFINA,Lamisil,Laboratorios Phoenix,DONTER COMPRIMIDOS 250 mg,F-14094,MINTLAB CO. S.A.
443,Antivertiginoso,BETAHISTINA,Vasomotal,Abbott Laboratories,MICROSER COMPRIMIDOS 24 mg,F-18989,GRÜNENTHAL CHILENA LTDA.
444,Antivertiginoso,BETAHISTINA,Vasomotal,Abbott Laboratories,MICROSER COMPRIMIDOS 24 mg,F-17909,GRÜNENTHAL CHILENA LTDA.
445,Antivertiginoso,BETAHISTINA,Vasomotal,Abbott Laboratories,BETINA COMPRIMIDOS 24 mg,F-21442,LABORATORIOS EUROMED CHILE S.A.
446,Antivertiginoso,BETAHISTINA,Vasomotal,Abbott Laboratories,BETINA COMPRIMIDOS 16 mg,F-21443,LABORATORIOS EUROMED CHILE S.A.
